"Hostname","AgentId","Groups","uuid","platform","distro","os","ip","status","agent_version","core_version","linked_on","last_connect","last_scanned","LastConnectUtc","LastScannedUtc","health_state_name"
"ACG-LT0661","664972137","ARCHRE-Workstation","240b2fc0-f643-4f79-80b6-b7fa85654352","WINDOWS","win-x86-64",,"172.20.12.75","on",,"11.1.2","1758875579","1776796297","1776782212","4/21/2026 6:31:37 PM","4/21/2026 2:36:52 PM","HEALTHY"
"ACG-LT0701","676285206","ARCHRE-Workstation","22067584-2151-443f-bf90-14d6a35f022c","WINDOWS","win-x86-64",,"10.225.130.180","off",,"11.1.2","1773322337","1776432601","1773767938","4/17/2026 1:30:01 PM","3/17/2026 5:18:58 PM","HEALTHY"
"ACG-LT0719","636174121","ARCHRE-Workstation","c9ba08fc-c220-44ae-92ed-2d86524fa8c9","WINDOWS","win-x86-64",,"10.225.128.112","on",,"11.1.2","1727727264","1776796687","1776776576","4/21/2026 6:38:07 PM","4/21/2026 1:02:56 PM","HEALTHY"
"ACG-LT0721","655945768","ARCHRE-Workstation","6fed3afb-c208-43c1-939f-f1138da0625d","WINDOWS","win-x86-64",,"10.225.128.197","on",,"11.1.2","1750086533","1776797718","1776779618","4/21/2026 6:55:18 PM","4/21/2026 1:53:38 PM","HEALTHY"
"ACG-LT0824","634966977","ARCHRE-Workstation","9f9f8305-1c95-496a-a023-127f3b4a780c","WINDOWS","win-x86-64",,"10.225.128.69","off",,"11.1.2","1725548278","1776767209","1776706869","4/21/2026 10:26:49 AM","4/20/2026 5:41:09 PM","HEALTHY"
"ACS-CPUS-e778","676298660","ACS-Server","f8216f7b-828b-4474-9e44-15f47f2f671b","WINDOWS","win-x86-64",,"10.161.224.12","on",,"11.1.2","1773335391","1776797593","1776791426","4/21/2026 6:53:13 PM","4/21/2026 5:10:26 PM","HEALTHY"
"ACS-DLCGAWY005","634518038","ACS-Server","b7497d3d-c240-41ba-adb6-7de24b3e30c4","LINUX","es8-x86-64",,"10.161.32.115","on",,"11.1.2","1724766405","1776797236","1776791206","4/21/2026 6:47:16 PM","4/21/2026 5:06:46 PM","HEALTHY"
"ACS-DLCGAWY006","634518553","ACS-Server","33960d14-7cf0-40cf-91b0-3556adaef11c","LINUX","es8-x86-64",,"10.161.32.116","on",,"11.1.2","1724767139","1776796993","1776791564","4/21/2026 6:43:13 PM","4/21/2026 5:12:44 PM","HEALTHY"
"ACS-DLCMATETL02","676552014","ACS-Server","13c6ea63-5d76-4ef2-9ed3-937addafd200","LINUX","debian10-x86-64",,"100.91.37.206","on",,"11.1.2","1773728825","1776796163","1776792452","4/21/2026 6:29:23 PM","4/21/2026 5:27:32 PM","HEALTHY"
"ACS-DLCMATETL02","650958674","ACS-Server","8db92d9b-3d2c-4cf5-9808-862a023719c9","LINUX","es8-x86-64",,"10.225.244.25","on",,"11.1.2","1745403587","1776796285","1776792265","4/21/2026 6:31:25 PM","4/21/2026 5:24:25 PM","HEALTHY"
"ACS-DLCMATETL02","628027263","ACS-Server","ac5f1587-4c8b-4325-97bf-0e1cb244338b","LINUX","es7-x86-64",,"100.91.192.35","on",,"11.1.2","1713268334","1776796582","1776792562","4/21/2026 6:36:22 PM","4/21/2026 5:29:22 PM","HEALTHY"
"ACS-DLVGAWY001.ARCHGROUP.IO","635129598","ACS-Server","b2d8c530-16e8-4c8f-ab83-1941e569f51d","LINUX","es8-x86-64",,"100.81.136.61","on",,"11.1.2","1725885817","1776797576","1776791546","4/21/2026 6:52:56 PM","4/21/2026 5:12:26 PM","HEALTHY"
"ACS-DRCAIMUTIL01","634536630","ACS-Server","c88f5f84-09d5-4023-9fcc-0830ec55b0b2","LINUX","es8-x86-64",,"10.162.12.8","on",,"11.1.2","1724793107","1776796552","1776792532","4/21/2026 6:35:52 PM","4/21/2026 5:28:52 PM","HEALTHY"
"ACS-DRCCOLED02","615137257","ACS-Server","fa03f317-ba56-4b0b-9cfb-be0dc06897c6","LINUX","es8-x86-64",,"100.91.235.4","on",,"11.1.2","1686764617","1776797635","1776791605","4/21/2026 6:53:55 PM","4/21/2026 5:13:25 PM","HEALTHY"
"ACS-DRCCOLED03","618695919","ACS-Server","25a37ca3-7ef8-44a8-9731-d9536ec9159f","LINUX","es8-x86-64",,"100.91.235.5","on",,"11.1.2","1693986298","1776796594","1776792574","4/21/2026 6:36:34 PM","4/21/2026 5:29:34 PM","HEALTHY"
"ACS-DRCDQLABS","644966791","ACS-Server","7f82e46c-14c7-4f38-82e4-adad284a1d57","LINUX","es8-x86-64",,"100.91.192.65","on",,"11.1.2","1739915202","1776796194","1776792174","4/21/2026 6:29:54 PM","4/21/2026 5:22:54 PM","HEALTHY"
"ACS-DRCGAMFT01","650967249","ACS-Server","0fb74383-14ae-419d-a14e-1dd9e89aeecc","LINUX","es8-x86-64",,"100.91.192.63","on",,"11.1.2","1745410664","1776797703","1776791673","4/21/2026 6:55:03 PM","4/21/2026 5:14:33 PM","HEALTHY"
"ACS-DRCWEBAPP","671055294","ACS-Server","f09de40c-8ca8-42e1-a422-c6980dd8efb4","LINUX","es8-x86-64",,"100.91.192.80","on",,"11.1.2","1765752684","1776796521","1776792501","4/21/2026 6:35:21 PM","4/21/2026 5:28:21 PM","HEALTHY"
"ACS-DRVDMZ001","634535946","ACS-Server","ad43bbf8-1f9b-4f14-9dcc-67d72c7135ff","LINUX","es8-x86-64",,"100.81.136.25","on",,"11.1.2","1724792124","1776797481","1776791451","4/21/2026 6:51:21 PM","4/21/2026 5:10:51 PM","HEALTHY"
"ACS-DWCALTRX03","678227794","ACS-Server","51c5eb6d-be8e-4d7d-8337-24fc77adbb17","WINDOWS","win-x86-64",,"10.160.32.18","on",,"11.1.2","1776124390","1776796853","1776792832","4/21/2026 6:40:53 PM","4/21/2026 5:33:52 PM","HEALTHY"
"ACS-DWCGPIMG01","619121025","ACS-Server","0d31337a-c1df-433e-91db-fb42676530b6","WINDOWS","win-x86-64",,"10.161.224.245","off",,"11.1.2","1694844435","1776236539","1776186266","4/15/2026 7:02:19 AM","4/14/2026 5:04:26 PM","HEALTHY"
"ACS-DWCMANPRN01","626026800","ACS-Server","58caaac5-4cf3-4120-857b-9aa096af654b","WINDOWS","win-x86-64",,"100.94.25.15","on",,"11.1.2","1709648454","1776797760","1776791728","4/21/2026 6:56:00 PM","4/21/2026 5:15:28 PM","HEALTHY"
"ACS-DWCMANUTL01","626027083","ACS-Server","ac9894af-bb6d-4943-a2d1-7ec1f7724a8e","WINDOWS","win-x86-64",,"100.94.25.16","on",,"11.1.2","1709648880","1776796687","1776792666","4/21/2026 6:38:07 PM","4/21/2026 5:31:06 PM","HEALTHY"
"ACS-DWCMIALYT04","616986654","AMI-Server","7c35cb2a-88cf-4fe5-a650-38982fae70ff","WINDOWS","win-x86-64",,"10.162.10.23","on",,"11.1.2","1690314013","1776796740","1776788699","4/21/2026 6:39:00 PM","4/21/2026 4:24:59 PM","HEALTHY"
"ACS-DWCMIJOB001","144441168","AMI-Server","5a80a16b-41f4-456c-833b-6ba347c27d49","WINDOWS","win-x86-64",,"10.162.8.24","on",,"11.1.2","1644546063","1776796742","1776788699","4/21/2026 6:39:02 PM","4/21/2026 4:24:59 PM","HEALTHY"
"ACSI-DWCSQLS001","144441667","ACS-Server","f1e846c8-df55-4d47-8375-40b0cd0fd3a7","WINDOWS","win-x86-64",,"10.163.32.29","off",,"11.1.2","1644546118","1774632509","1774632511","3/27/2026 5:28:29 PM","3/27/2026 5:28:31 PM","HEALTHY"
"ACSI-PWCLRN01","152381752","ACS-Server","c585768f-d612-48b2-afd7-7acec9f23d3b","WINDOWS","win-x86-64",,"10.162.2.4","on",,"11.1.2","1645316914","1776797608","1776791576","4/21/2026 6:53:28 PM","4/21/2026 5:12:56 PM","HEALTHY"
"ACSI-PWCSQLS002","152391115","ACS-Server","d9905919-604b-4c76-bc40-883ca8e11531","WINDOWS","win-x86-64",,"10.163.32.35","on",,"11.1.2","1645317806","1776797125","1776791093","4/21/2026 6:45:25 PM","4/21/2026 5:04:53 PM","HEALTHY"
"ACSI-PWCXCEP201","152390087","ACS-Server","38eea88e-a091-4552-a01e-b38f9f44223d","WINDOWS","win-x86-64",,"10.163.32.34","on",,"11.1.2","1645317704","1776797081","1776791050","4/21/2026 6:44:41 PM","4/21/2026 5:04:10 PM","HEALTHY"
"ACSI-SWCXCEP201","144439073","ACS-Server","527bfdd5-5ecb-4f55-9535-e6d868053d0a","WINDOWS","win-x86-64",,"10.163.32.33","on",,"11.1.2","1644545834","1776796369","1776792698","4/21/2026 6:32:49 PM","4/21/2026 5:31:38 PM","HEALTHY"
"ACS-NLVGAMFT03.ARCHGROUP.IO","628440317","ACS-Server","945fb0fb-ada7-4302-aec8-be67ac3b5f7f","LINUX","es8-x86-64",,"10.225.244.15","on",,"11.1.2","1713962701","1776798039","1776792010","4/21/2026 7:00:39 PM","4/21/2026 5:20:10 PM","HEALTHY"
"ACS-NRCCDOPS01","619621687","ACS-Server","e181ab36-f8dd-4efb-96e7-3661147f2ffb","LINUX","es8-x86-64",,"100.91.235.6","on",,"11.1.2","1695971519","1776797367","1776791336","4/21/2026 6:49:27 PM","4/21/2026 5:08:56 PM","HEALTHY"
"ACS-NRCMNGEN01","628524904","ACS-Server","638b2971-da9e-49f2-8135-472a5c800765","LINUX","es8-x86-64",,"100.91.192.38","on",,"11.1.2","1714092617","1776796290","1776792270","4/21/2026 6:31:30 PM","4/21/2026 5:24:30 PM","HEALTHY"
"ACS-NWC01AVC01","639700141","ACS-Citrix, ACS-Server","927a7993-cdbe-4a7b-b677-910b8f4fd0bf","WINDOWS","win-x86-64",,"100.91.192.58","on",,"11.1.2","1733532601","1776796130","1776792108","4/21/2026 6:28:50 PM","4/21/2026 5:21:48 PM","HEALTHY"
"ACS-NWC01AVC02","639700238","ACS-Citrix, ACS-Server","0bf77be4-1695-42e5-9966-ea0af758b480","WINDOWS","win-x86-64",,"100.91.192.53","on",,"11.1.2","1733532757","1776797581","1776791549","4/21/2026 6:53:01 PM","4/21/2026 5:12:29 PM","HEALTHY"
"ACS-NWC01AVC03","642463755","ACS-Citrix, ACS-Server","bf9b965a-26bf-407d-9a6a-1a6c84fbc3e1","WINDOWS","win-x86-64",,"100.91.192.59","on",,"11.1.2","1737360429","1776797541","1776791508","4/21/2026 6:52:21 PM","4/21/2026 5:11:48 PM","HEALTHY"
"ACS-NWC01AVF01","639700182","ACS-Citrix, ACS-Server","ee81b65a-9749-49a9-96a4-31be7a833dca","WINDOWS","win-x86-64",,"100.91.192.55","on",,"11.1.2","1733532650","1776796274","1776792253","4/21/2026 6:31:14 PM","4/21/2026 5:24:13 PM","HEALTHY"
"ACS-NWC01AVF02","639700155","ACS-Citrix, ACS-Server","bda62ba2-0eb0-4268-b6e9-54013a8cacf2","WINDOWS","win-x86-64",,"100.91.192.54","on",,"11.1.2","1733532613","1776797748","1776791716","4/21/2026 6:55:48 PM","4/21/2026 5:15:16 PM","HEALTHY"
"ACS-NWC01AVF03","643309062","ACS-Citrix, ACS-Server","2b6ca10e-fe85-47cd-aada-4c4f8f982be0","WINDOWS","win-x86-64",,"100.91.192.62","on",,"11.1.2","1738184607","1776797631","1776791599","4/21/2026 6:53:51 PM","4/21/2026 5:13:19 PM","HEALTHY"
"ACS-NWC01AVM01","658734258","ACS-Citrix, ACS-Server","a2089785-58a5-413c-95ae-52356ddc7b85","WINDOWS","win-x86-64",,"100.91.222.134","on",,"11.1.2","1752526955","1776796898","1776792877","4/21/2026 6:41:38 PM","4/21/2026 5:34:37 PM","HEALTHY"
"ACS-NWC01AVM02","658734041","ACS-Citrix, ACS-Server","f7e9b641-7200-44ca-8d4d-dc70b3ca383d","WINDOWS","win-x86-64",,"100.91.222.135","on",,"11.1.2","1752526807","1776796685","1776792664","4/21/2026 6:38:05 PM","4/21/2026 5:31:04 PM","HEALTHY"
"ACS-NWC02AVC01","641998415","ACS-Citrix, ACS-Server","7bc421d2-1e8d-4819-9889-2bb7651ea1b5","WINDOWS","win-x86-64",,"100.90.193.10","on",,"11.1.2","1736891018","1776796874","1776792852","4/21/2026 6:41:14 PM","4/21/2026 5:34:12 PM","HEALTHY"
"ACS-NWC02AVC02","641998472","ACS-Citrix, ACS-Server","07638ea6-64db-47d8-87e8-584b2ab7b651","WINDOWS","win-x86-64",,"100.90.193.4","on",,"11.1.2","1736891083","1776796397","1776792375","4/21/2026 6:33:17 PM","4/21/2026 5:26:15 PM","HEALTHY"
"ACS-NWC02AVC03","642864154","ACS-Citrix, ACS-Server","6b3bde35-b633-4695-b4e4-9b71e36d5302","WINDOWS","win-x86-64",,"100.90.193.11","on",,"11.1.2","1737730962","1776796604","1776792582","4/21/2026 6:36:44 PM","4/21/2026 5:29:42 PM","HEALTHY"
"ACS-NWC02AVF01","641977734","ACS-Citrix, ACS-Server","b1171f61-6381-48b6-9717-4673b418eed1","WINDOWS","win-x86-64",,"100.90.193.9","on",,"11.1.2","1736876190","1776797509","1776791476","4/21/2026 6:51:49 PM","4/21/2026 5:11:16 PM","HEALTHY"
"ACS-NWC02AVF02","641977722","ACS-Citrix, ACS-Server","aa479605-0264-4ce8-ab22-85bef662393a","WINDOWS","win-x86-64",,"100.90.193.5","on",,"11.1.2","1736876182","1776797208","1776791176","4/21/2026 6:46:48 PM","4/21/2026 5:06:16 PM","HEALTHY"
"ACS-NWC02AVF03","643498118","ACS-Citrix, ACS-Server","123bbd81-1d4d-4e15-baf5-176b6cdff2ce","WINDOWS","win-x86-64",,"100.90.193.13","on",,"11.1.2","1738359328","1776797972","1776791803","4/21/2026 6:59:32 PM","4/21/2026 5:16:43 PM","HEALTHY"
"ACS-NWC02AVM01","658738661","ACS-Citrix, ACS-Server","388313d4-663b-4373-8bce-14c08478a2a9","WINDOWS","win-x86-64",,"100.90.193.6","on",,"11.1.2","1752530874","1776796513","1776792491","4/21/2026 6:35:13 PM","4/21/2026 5:28:11 PM","HEALTHY"
"ACS-NWC02AVM02","658738648","ACS-Citrix, ACS-Server","c7186b20-3246-4884-b412-6f0e40bffadd","WINDOWS","win-x86-64",,"100.90.193.14","on",,"11.1.2","1752530867","1776797256","1776791224","4/21/2026 6:47:36 PM","4/21/2026 5:07:04 PM","HEALTHY"
"ACS-NWC07AVC01","665761500","ACS-Citrix, ACS-Server","ecb6691a-71b6-4544-815f-f33ce99a6666","WINDOWS","win-x86-64",,"100.115.192.4","on",,"11.1.2","1759777173","1776797512","1776791478","4/21/2026 6:51:52 PM","4/21/2026 5:11:18 PM","HEALTHY"
"ACS-NWC07AVC02","665829288","ACS-Citrix, ACS-Server","857c0956-bc1b-42fe-b446-7dfb5c6fded6","WINDOWS","win-x86-64",,"100.115.192.6","on",,"11.1.2","1759846893","1776797032","1776793010","4/21/2026 6:43:52 PM","4/21/2026 5:36:50 PM","HEALTHY"
"ACS-NWC07AVF01","667496167","ACS-Citrix, ACS-Server","710859ae-8e04-4cd5-9567-72c870c5484b","WINDOWS","win-x86-64",,"100.115.192.5","on",,"11.1.2","1761785148","1776797282","1776791248","4/21/2026 6:48:02 PM","4/21/2026 5:07:28 PM","HEALTHY"
"ACS-NWC07AVF02","665829286","ACS-Citrix, ACS-Server","de54ae06-94a6-45c3-ae8e-c071cfc67f85","WINDOWS","win-x86-64",,"100.115.192.7","on",,"11.1.2","1759846891","1776797645","1776791612","4/21/2026 6:54:05 PM","4/21/2026 5:13:32 PM","HEALTHY"
"ACS-NWC08AVC01","659400519","ACS-Citrix, ACS-Server","99e79e48-bd53-48e6-9ca9-d4adfcbdb151","WINDOWS","win-x86-64",,"100.116.192.5","on",,"11.1.2","1753223569","1776797796","1776791762","4/21/2026 6:56:36 PM","4/21/2026 5:16:02 PM","HEALTHY"
"ACS-NWC08AVC02","659526841","ACS-Citrix, ACS-Server","6a05720c-6aca-4fc2-b2c4-5e2ef16fb5df","WINDOWS","win-x86-64",,"100.116.192.9","on",,"11.1.2","1753308962","1776797885","1776791851","4/21/2026 6:58:05 PM","4/21/2026 5:17:31 PM","HEALTHY"
"ACS-NWC08AVF01","664385931","ACS-Citrix, ACS-Server","f80eb836-4346-4186-b080-ca021d0a4e24","WINDOWS","win-x86-64",,"100.116.192.10","on",,"11.1.2","1758247236","1776796944","1776792922","4/21/2026 6:42:24 PM","4/21/2026 5:35:22 PM","HEALTHY"
"ACS-NWC08AVF02","664387438","ACS-Citrix, ACS-Server","2ec76171-c07d-4dbd-a5eb-2eba1d4fae4c","WINDOWS","win-x86-64",,"100.116.192.4","on",,"11.1.2","1758249418","1776797301","1776791268","4/21/2026 6:48:21 PM","4/21/2026 5:07:48 PM","HEALTHY"
"ACS-NWCTESTVM01","550737151","ACS-Server","4535da95-9a0c-4acd-9a6f-cfd8623d0a8e","WINDOWS","win-x86-64",,"100.91.192.10","on",,"11.1.2","1675781828","1776797725","1776791693","4/21/2026 6:55:25 PM","4/21/2026 5:14:53 PM","HEALTHY"
"ACS-NWV51EVC01","656818027","ACS-Citrix, ACS-Server","8bfffbde-a661-4e8a-a9cf-219d7e3f33d3","WINDOWS","win-x86-64",,"10.234.196.26","on",,"11.1.2","1750797877","1776797956","1776791924","4/21/2026 6:59:16 PM","4/21/2026 5:18:44 PM","HEALTHY"
"ACS-NWV51EVC02","670561897","ACS-Citrix, ACS-Server","5ce5815b-7340-4fe5-9ad1-c732a6c7b87e","WINDOWS","win-x86-64",,"10.234.196.22","on",,"11.1.2","1765209656","1776796666","1776792645","4/21/2026 6:37:46 PM","4/21/2026 5:30:45 PM","HEALTHY"
"ACS-NWV51EVF01","656823471","ACS-Citrix, ACS-Server","4ece8bcd-aad7-4063-83fd-d80778f34345","WINDOWS","win-x86-64",,"10.234.196.23","on",,"11.1.2","1750801811","1776796483","1776792462","4/21/2026 6:34:43 PM","4/21/2026 5:27:42 PM","HEALTHY"
"ACS-NWV51EVF02","656823843","ACS-Citrix, ACS-Server","80ffcefd-2b25-4e4f-9e70-45999e949f15","WINDOWS","win-x86-64",,"10.234.196.24","on",,"11.1.2","1750802126","1776796178","1776792157","4/21/2026 6:29:38 PM","4/21/2026 5:22:37 PM","HEALTHY"
"ACS-NWV51EVM01","656816927","ACS-Citrix, ACS-Server","ba2cc64d-7a23-412b-8c71-c650c520c659","WINDOWS","win-x86-64",,"10.234.196.25","on",,"11.1.2","1750797130","1776798044","1776792012","4/21/2026 7:00:44 PM","4/21/2026 5:20:12 PM","HEALTHY"
"ACS-PLCDOCK003","617587485","ACS-Server","f9f59543-0871-4b47-ab5b-56fd279503bb","LINUX","es8-x86-64",,"100.91.16.17","on",,"11.1.2","1691546026","1776796723","1776792703","4/21/2026 6:38:43 PM","4/21/2026 5:31:43 PM","HEALTHY"
"ACS-PLCGAMFT01.ARCHGROUP.IO","623565059","ACS-Server","58260123-97ff-4a5e-9448-ba399c6fba2c","LINUX","es8-x86-64",,"10.162.2.7","on",,"11.1.2","1704833115","1776796624","1776792604","4/21/2026 6:37:04 PM","4/21/2026 5:30:04 PM","HEALTHY"
"ACS-PLCGAMFT02.ARCHGROUP.IO","623990187","ACS-Server","6794ab11-866b-44f3-827a-6215c1ccf0ec","LINUX","es8-x86-64",,"10.162.2.8","on",,"11.1.2","1705590044","1776796351","1776792827","4/21/2026 6:32:31 PM","4/21/2026 5:33:47 PM","HEALTHY"
"ACS-PLCGAMFT03.ARCHGROUP.IO","634518602","ACS-Server","b6516975-1bb4-4590-853a-55923baf1114","LINUX","es8-x86-64",,"100.91.16.56","on",,"11.1.2","1724767210","1776796915","1776792896","4/21/2026 6:41:55 PM","4/21/2026 5:34:56 PM","HEALTHY"
"ACS-PLCGAMFT04.ARCHGROUP.IO","634518681","ACS-Server","acbdb164-7403-43cc-a6be-66353b5c0a40","LINUX","es8-x86-64",,"100.91.16.57","on",,"11.1.2","1724767294","1776797279","1776791249","4/21/2026 6:47:59 PM","4/21/2026 5:07:29 PM","HEALTHY"
"ACS-PLCGAWY003","620703216","ACS-Server","fece0e75-a668-484b-bf07-333a4d808a88","LINUX","es8-x86-64",,"10.161.32.67","on",,"11.1.2","1698239346","1776796060","1776792041","4/21/2026 6:27:40 PM","4/21/2026 5:20:41 PM","HEALTHY"
"ACS-PLCGAWY004","620702727","ACS-Server","357c3e9c-e5e6-42a4-b47f-3496de7d6729","LINUX","es8-x86-64",,"10.161.32.68","on",,"11.1.2","1698239146","1776796178","1776792159","4/21/2026 6:29:38 PM","4/21/2026 5:22:39 PM","HEALTHY"
"ACS-PLVGAWY003.ARCHGROUP.IO","635729996","ACS-Server","6d654590-1237-4d7e-82e7-983e2014929f","LINUX","es8-x86-64",,"100.81.137.67","on",,"11.1.2","1726934255","1776797674","1776791644","4/21/2026 6:54:34 PM","4/21/2026 5:14:04 PM","HEALTHY"
"ACS-PLVGAWY004.ARCHGROUP.IO","634535989","ACS-Server","4ee4c8f6-e652-4fbe-be25-6c3057d58b22","LINUX","es8-x86-64",,"100.81.137.68","on",,"11.1.2","1724792184","1776797113","1776791083","4/21/2026 6:45:13 PM","4/21/2026 5:04:43 PM","HEALTHY"
